DOI,Year,Domain,TRL,AI,Targeted Threats,Attack Scenarios,Fault Injection,Evaluation Method,Identified Security Challenges,Contributions,Use Case Description,Prerequisites,SCE Approach Description,Required Resources,Evaluation Approach Description,Evaluation Metrics,Evaluation Results,Lessons Learned,Additional Information
10.1109/ACCESS.2020.3007338,2020,Cloud,4-6,No,"S, T, R, I, D, E",Yes,"T1, T2",Empirical,,,,,,,,,,,
10.1145/3600160.3605076,2023,Cloud,4-6,Yes,"S, T, R, I, D, E",Yes,"T2, T3",Empirical,,,,,,,,,,,
10.1109/Redundancy59964.2023.10330188,2023,General Purpose,4-6,No,"S, T, R, I, D, E",Yes,NA,Empirical,,,,,,,,,,,
10.1109/SmartNets55823.2022.9993998,2022,Cloud,NA,No,"S, T, R, I, D",No,T1,NA,,,,,,,,,,,
10.1007/s10207-024-00909-w,2024,General Purpose,4-6,Yes,"S, T, R, I, D, E",Yes,"T2, T3, T5",NA,,,,,,,,,,,
10.1109/ACCESS.2023.3316028,2023,Cyber-Physical Systems,4-6,No,"S, T, R, I, D",No,"T1, T2, T4, T5, T6",Empirical,,,,,,,,,,,
10.3390/bdcc7010001,2023,General Purpose,4-6,No,"S, T",Yes,NA,Empirical,,,,,,,,,,,
10.1117/12.2632779,2022,Systems of Systems,1-3,No,"S, T, R, I, D",Yes,"T1, T4",Empirical,,,,,,,,,,,
10.1109/ACSOS55765.2022.00018,2022,General Purpose,1-3,No,"S, T, R, I, D",Yes,"T4, T5",Empirical,,,,,,,,,,,
10.1109/TII.2023.3264101,2024,Operational Technologies,4-6,No,"S, T, R, I, D, E",No,"T1, T2, T4, T5",Empirical,,,,,,,,,,,
10.1117/12.2584986,2021,Open Systems Architecture,1-3,No,"S, T, R, I, D",No,"T5, T6",Empirical,,,,,,,,,,,
10.1007/978-3-030-86507-8_10,2021,Cloud,1-3,No,"S, T, R, I, D",No,T5,NA,,,,,,,,,,,
10.1109/SRDS53918.2021.00014,2021,Internet of Things,4-6,No,"S, T, R, I, D",No,T5,Empirical,,,,,,,,,,,
10.1109/NCA.2018.8548329,2018,Cloud,4-6,No,"S, T, R, I, D",No,T4,"Analytical, Empirical",,,,,,,,,,,
10.1016/j.cose.2020.102124,2021,Cloud,4-6,No,"S, T, R, I",No,"T1, T5",Empirical,,,,,,,,,,,
10.1109/FMEC62297.2024.10710237,2024,Cloud,4-6,No,"S, T, R, I, D",No,T1,Empirical,,,,,,,,,,,
10.1007/978-3-031-63783-4_18,2024,Internet of Things,1-3,No,"S, T, R, I, D",No,T5,Empirical,,,,,,,,,,,
NA,2019,Cloud,NA,No,NA,No,NA,NA,,,,,,,,,,,
NA,2023,Cloud,4-6,No,"S, T, R, I, D",No,"T1, T4, T5",Empirical,,,,,,,,,,,
